Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date
2016-07-07,O.J.: Made in America,2016,https://letterboxd.com/jacobworrel/film/oj-made-in-america/,4,,2016-07-06
2016-07-09,Anvil! The Story of Anvil,2008,https://letterboxd.com/jacobworrel/film/anvil-the-story-of-anvil/,4.5,,2016-07-08
2016-07-12,Sombre,1998,https://letterboxd.com/jacobworrel/film/sombre/,2.5,,2016-07-11
2016-07-13,Jim Jefferies: Freedumb,2016,https://letterboxd.com/jacobworrel/film/jim-jefferies-freedumb/,3.5,,2016-07-11
2016-07-14,Wanderlust,2012,https://letterboxd.com/jacobworrel/film/wanderlust/,3,,2016-07-13
2016-07-17,The Secret Life of Pets,2016,https://letterboxd.com/jacobworrel/film/the-secret-life-of-pets/,2,,2016-07-16
2016-07-17,Me and Earl and the Dying Girl,2015,https://letterboxd.com/jacobworrel/film/me-and-earl-and-the-dying-girl/,1.5,,2016-07-16
2016-07-20,Unfriended,2014,https://letterboxd.com/jacobworrel/film/unfriended/,2.5,,2016-07-19
2016-07-21,Embrace of the Serpent,2015,https://letterboxd.com/jacobworrel/film/embrace-of-the-serpent/,3,,2016-07-19
2016-07-21,American Movie,1999,https://letterboxd.com/jacobworrel/film/american-movie/1/,3.5,,2016-07-20
2016-07-24,Star Trek Beyond,2016,https://letterboxd.com/jacobworrel/film/star-trek-beyond/,2,,2016-07-23
2016-07-29,Time of the Gypsies,1988,https://letterboxd.com/jacobworrel/film/time-of-the-gypsies/,3,,2016-07-28
2016-07-29,Yankee Doodle Dandy,1942,https://letterboxd.com/jacobworrel/film/yankee-doodle-dandy/,2,,2016-07-28
2016-08-02,Ghostbusters,2016,https://letterboxd.com/jacobworrel/film/ghostbusters-2016/,4,,2016-07-31
2016-08-08,Tony Robbins: I Am Not Your Guru,2016,https://letterboxd.com/jacobworrel/film/tony-robbins-i-am-not-your-guru/,2.5,,2016-08-06
2016-08-16,"Hail, Caesar!",2016,https://letterboxd.com/jacobworrel/film/hail-caesar-2016/,2,,2016-08-06
2016-08-09,Jason Bourne,2016,https://letterboxd.com/jacobworrel/film/jason-bourne/,2,,2016-08-07
2016-08-14,Sausage Party,2016,https://letterboxd.com/jacobworrel/film/sausage-party/,1,,2016-08-13
2016-08-18,The Lobster,2015,https://letterboxd.com/jacobworrel/film/the-lobster/,1.5,,2016-08-15
2016-08-17,Train to Busan,2016,https://letterboxd.com/jacobworrel/film/train-to-busan/,3.5,,2016-08-16
2016-08-22,'71,2014,https://letterboxd.com/jacobworrel/film/71/,3,,2016-08-20
2016-08-22,Jim Gaffigan: Obsessed,2014,https://letterboxd.com/jacobworrel/film/jim-gaffigan-obsessed/,3.5,,2016-08-20
2016-08-22,War Dogs,2016,https://letterboxd.com/jacobworrel/film/war-dogs-2016/,3,,2016-08-21
2016-08-31,Hell or High Water,2016,https://letterboxd.com/jacobworrel/film/hell-or-high-water/,2.5,,2016-08-30
2016-09-03,Wiener-Dog,2016,https://letterboxd.com/jacobworrel/film/wiener-dog/,1.5,,2016-09-02
2016-09-04,The Nice Guys,2016,https://letterboxd.com/jacobworrel/film/the-nice-guys/,2.5,,2016-09-03
2016-09-07,Green Room,2015,https://letterboxd.com/jacobworrel/film/green-room/,2,,2016-09-06
2016-09-09,Lone Survivor,2013,https://letterboxd.com/jacobworrel/film/lone-survivor/,3,,2016-09-08
2016-09-16,Don't Think Twice,2016,https://letterboxd.com/jacobworrel/film/dont-think-twice/,3.5,,2016-09-15
2016-09-19,Everybody Wants Some!!,2016,https://letterboxd.com/jacobworrel/film/everybody-wants-some/,4,,2016-09-18
2016-09-22,The Night Of,2016,https://letterboxd.com/jacobworrel/film/the-night-of/,4,,2016-09-20
2016-09-24,Sully,2016,https://letterboxd.com/jacobworrel/film/sully/,3,,2016-09-22
2016-09-26,The Glass Shield,1994,https://letterboxd.com/jacobworrel/film/the-glass-shield/,2.5,,2016-09-25
2016-09-28,Cop Car,2015,https://letterboxd.com/jacobworrel/film/cop-car/1/,3,,2016-09-27
2016-10-07,Kubo and the Two Strings,2016,https://letterboxd.com/jacobworrel/film/kubo-and-the-two-strings/,3,,2016-10-02
2016-10-08,Amanda Knox,2016,https://letterboxd.com/jacobworrel/film/amanda-knox/,2.5,,2016-10-07
2016-10-11,The Age of Shadows,2016,https://letterboxd.com/jacobworrel/film/the-age-of-shadows/,2,,2016-10-09
2016-10-15,Dheepan,2015,https://letterboxd.com/jacobworrel/film/dheepan/,1.5,,2016-10-13
2016-10-22,The Conjuring 2,2016,https://letterboxd.com/jacobworrel/film/the-conjuring-2/,1.5,,2016-10-21
2016-10-27,Dope,2015,https://letterboxd.com/jacobworrel/film/dope-2015/,2,,2016-10-24
2016-10-27,Christine,2016,https://letterboxd.com/jacobworrel/film/christine-2016/,3.5,,2016-10-25
2016-10-27,Weiner,2016,https://letterboxd.com/jacobworrel/film/weiner/,3.5,,2016-10-26
2016-10-30,Tickled,2016,https://letterboxd.com/jacobworrel/film/tickled/,3.5,,2016-10-28
2016-10-30,Mascots,2016,https://letterboxd.com/jacobworrel/film/mascots/,2.5,,2016-10-29
2016-11-05,Café Society,2016,https://letterboxd.com/jacobworrel/film/cafe-society-2016/,2.5,,2016-11-04
