Date,Name,Year,Letterboxd URI,Rating
2013-06-09,Throne of Blood,1957,https://letterboxd.com/film/throne-of-blood/,4
2013-06-09,Early Spring,1956,https://letterboxd.com/film/early-spring/,4.5
2013-06-09,All That Heaven Allows,1955,https://letterboxd.com/film/all-that-heaven-allows/,3.5
2013-06-09,Diabolique,1955,https://letterboxd.com/film/diabolique-1955/,4.5
2013-06-09,The Night of the Hunter,1955,https://letterboxd.com/film/the-night-of-the-hunter/,4
2013-06-09,Sansho the Bailiff,1954,https://letterboxd.com/film/sansho-the-bailiff/,4
2013-06-09,Rififi,1955,https://letterboxd.com/film/rififi/,4
2013-06-09,Marty,1955,https://letterboxd.com/film/marty/,4
2013-06-09,Rear Window,1954,https://letterboxd.com/film/rear-window/,4
2013-06-09,Tokyo Story,1953,https://letterboxd.com/film/tokyo-story/,4.5
2013-06-09,Pickup on South Street,1953,https://letterboxd.com/film/pickup-on-south-street/,4
2013-06-09,Roman Holiday,1953,https://letterboxd.com/film/roman-holiday/,4
2013-06-09,The Earrings of Madame de...,1953,https://letterboxd.com/film/the-earrings-of-madame-de/,4.5
2013-06-09,The Big Heat,1953,https://letterboxd.com/film/the-big-heat/,4
2013-06-09,Strangers on a Train,1951,https://letterboxd.com/film/strangers-on-a-train/,4.5
2013-06-09,Ace in the Hole,1951,https://letterboxd.com/film/ace-in-the-hole/,4.5
2013-06-09,In a Lonely Place,1950,https://letterboxd.com/film/in-a-lonely-place/,4.5
2013-06-09,Sunset Boulevard,1950,https://letterboxd.com/film/sunset-boulevard/,4
2013-06-09,Harvey,1950,https://letterboxd.com/film/harvey/,4
2013-06-09,Gun Crazy,1950,https://letterboxd.com/film/gun-crazy/,4
2013-06-09,They Live by Night,1948,https://letterboxd.com/film/they-live-by-night/,4
2013-06-09,The Heiress,1949,https://letterboxd.com/film/the-heiress/,4.5
2013-06-09,Late Spring,1949,https://letterboxd.com/film/late-spring/,4
2013-06-09,The Treasure of the Sierra Madre,1948,https://letterboxd.com/film/the-treasure-of-the-sierra-madre/,4
2013-06-09,Letter from an Unknown Woman,1948,https://letterboxd.com/film/letter-from-an-unknown-woman/,3.5
2013-06-09,Red River,1948,https://letterboxd.com/film/red-river/,4
2013-06-09,Unfaithfully Yours,1948,https://letterboxd.com/film/unfaithfully-yours/,3.5
2013-06-09,Brute Force,1947,https://letterboxd.com/film/brute-force/,3.5
